wav_name,txt
A11_0.wav,绿是阳春烟景大块文章的底色四月的林峦更是绿得鲜活秀媚诗意盎然
A11_1.wav,他仅凭腰部的力量在泳道上下翻腾蛹动蛇行状如海豚一直以一头的优势领先
A11_10.wav,炮眼打好了炸药怎么装岳正才咬了咬牙倏地脱去衣服光膀子冲进了水窜洞
A11_100.wav,可谁知纹完后她一照镜子只见左下眼睑的线又粗又黑与右侧明显不对称
A11_101.wav,七十年代末我外出求学母亲叮咛我吃饭要细嚼慢咽学习要深钻细研
A11_102.wav,一进门我被惊呆了这户名叫庞吉的老农是抗美援朝负伤回乡的老兵妻子长年有病家徒四壁一贫如洗
A11_103.wav,走出村子老远老远我还回头张望那个安宁恬静的小院那个使我终身难忘的小院
A11_104.wav,二月四日住进新西门外罗家碾王家冈朱自清闻讯特地从东门外赶来庆贺
A11_105.wav,单位不是我老爹开的凭什么要一次二次照顾我我不能把自己的包袱往学校甩
A11_106.wav,都用草帽或胳膊肘护着碗趔趔趄趄穿过烂泥塘般的院坝跑回自己的宿舍去了
A11_107.wav,香港演艺圈欢迎毛阿敏加盟无线台与华星一些重大的演唱活动都邀请她出场有几次还特意安排压轴演出
A11_108.wav,如腌拌黄瓜将黄瓜洗净切片后用盐腌半小时左右食用时加糖醋麻油即可
A11_109.wav,结果布瓦万不知怎么未能把伞打开而摔死而卡特琳操纵降落伞安然着地
A11_11.wav,扎依采夫时装不仅女装高雅男装也新颖不仅表演时装别致职业女装也魅力醉人
A11_110.wav,君子多欲则贪慕富贵枉道速祸小人多欲则多求妄用败家丧身
A11_111.wav,我们家有台旧音响坏了以后我妈让我修被我越修越不成样子她就不往回要了
A11_112.wav,反正咱高低都不说啥做人不能忘本没有老马哪儿有云霞的今天我啥也不说啦
A11_113.wav,如此举措源于杭州娃哈哈食品集团公司总经理宗庆后对市场特质的洞悉
A11_114.wav,金鸡山下的弄尧村隘口镇过去穷得叮当响现在却出了百万富翁甚至千万富翁
A11_115.wav,马晓年作画的特征与神韵其画风区别于文人画和年画可谓雅俗共赏
A11_116.wav,鉴于此经研究决定海峡情专栏原定三月底结束现延至五月三十一日特此告知
A11_117.wav,我曾足迹遍及海内外但使我始终萦回不能忘怀的却是这片生我养我的中原故土
A11_118.wav,由于产妇早产医护人员将三胞胎婴儿放在育婴箱内精心护理以保证他们存活
A11_119.wav,陈云同志同时要求干部认真学习业务精通业务向一切业务内行人学习
A11_12.wav,沃罗宁认为叶利钦的命令既违反了俄联邦宪法也违反了俄联邦各共和国宪法
A11_120.wav,中年演员马莉莉陆敬业青年演员孙徐春等也为观众演出了拿手曲目
A11_121.wav,从县级经济规模现状出发应以发展外贸为突破口以外贸带外资以外资促外贸
A11_122.wav,皮球在绿茵茵的草地上滚来滚去双方球员在屏幕上争抢我靠着亚红斜眼看着电视
A11_123.wav,另外假设不麻烦请关照一下内务及星空花园原则上别让屋子变成鬼屋就好了啦云云
A11_124.wav,另外女单中国队还有韩晶娜和尧燕奥运排名第六七位也可与高手一搏
A11_125.wav,工厂和厂房依山而建全部配备排污系统你见不到黑烟听不到噪声也看不到污水
A11_126.wav,对於她在人赃俱获的情况下仍强辞夺理颇感有趣她似乎不知道绝望为何物
A11_127.wav,要想扶优汰劣首先要解决谁优谁劣的问题要判定谁优谁劣必须得有一个衡量的尺子
A11_128.wav,仅绘画而论齐白石是巍巍昆仑可这位附庸风雅的门外汉连一块石头都不是
